indicator_name,province_name,year,value
نرخ تملک خودرو,یزد,1379,11.07981
نرخ تملک خودرو,آذربایجان شرقی,1380,7.2369413
نرخ تملک خودرو,آذربایجان غربی,1380,5.6238847
نرخ تملک خودرو,اردبیل,1380,3.9898567
نرخ تملک خودرو,اصفهان,1380,5.8338737
نرخ تملک خودرو,ایلام,1380,1.2630572
نرخ تملک خودرو,بوشهر,1380,1.1625266
نرخ تملک خودرو,تهران,1380,14.2868
نرخ تملک خودرو,خراسان رضوی,1380,5.8201547
نرخ تملک خودرو,خوزستان,1380,4.5117307
نرخ تملک خودرو,زنجان,1380,7.1222515
نرخ تملک خودرو,سمنان,1380,2.7172179
نرخ تملک خودرو,سیستان و بلوچستان,1380,2.362015
نرخ تملک خودرو,فارس,1380,3.6421647
نرخ تملک خودرو,قزوین,1380,5.5533948
نرخ تملک خودرو,قم,1380,1.630421
نرخ تملک خودرو,کردستان,1380,.50623411
نرخ تملک خودرو,کرمان,1380,1.4774331
نرخ تملک خودرو,کرمانشاه,1380,.12175945
نرخ تملک خودرو,کهگیلویه و بویراحمد,1380,.91731304
نرخ تملک خودرو,لرستان,1380,1.9848009
نرخ تملک خودرو,مازندران,1380,.98526061
نرخ تملک خودرو,مرکزی,1380,7.1946511
نرخ تملک خودرو,هرمزگان,1380,4.5400796
نرخ تملک خودرو,همدان,1380,4.9278574
نرخ تملک خودرو,چهارمحال و بختیاری,1380,.60138851
نرخ تملک خودرو,کل کشور,1380,7.3600512
نرخ تملک خودرو,گلستان,1380,6.3548985
نرخ تملک خودرو,گیلان,1380,4.604754
نرخ تملک خودرو,یزد,1380,16.154263
نرخ تملک خودرو,آذربایجان شرقی,1381,8.2158527
نرخ تملک خودرو,آذربایجان غربی,1381,6.7383633
نرخ تملک خودرو,اردبیل,1381,5.4600558
نرخ تملک خودرو,اصفهان,1381,17.232971
نرخ تملک خودرو,ایلام,1381,6.7766943
نرخ تملک خودرو,بوشهر,1381,10.517397
نرخ تملک خودرو,تهران,1381,18.376228
نرخ تملک خودرو,خراسان رضوی,1381,8.8558712
نرخ تملک خودرو,خوزستان,1381,5.5491891
نرخ تملک خودرو,زنجان,1381,.39618093
نرخ تملک خودرو,سمنان,1381,4.6475515
نرخ تملک خودرو,سیستان و بلوچستان,1381,1.4543579
نرخ تملک خودرو,فارس,1381,6.1053009
نرخ تملک خودرو,قزوین,1381,4.6750498
نرخ تملک خودرو,قم,1381,4.0666242
نرخ تملک خودرو,کردستان,1381,2.423543
نرخ تملک خودرو,کرمان,1381,14.465528
نرخ تملک خودرو,کرمانشاه,1381,.87051058
نرخ تملک خودرو,کهگیلویه و بویراحمد,1381,4.3200545
نرخ تملک خودرو,لرستان,1381,1.9412923
نرخ تملک خودرو,مازندران,1381,4.151391
نرخ تملک خودرو,مرکزی,1381,.51081508
